Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SIFT,FREAK,0,1891,0,0.000,0.000,155.522,70.610,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SIFT,FREAK,1,1915,127,2.518,14.778,134.776,59.753,MAT_BF,SEL_NN,1707,27.899,1228.517,14.062,-1.172
SIFT,FREAK,2,1825,135,2.534,17.080,149.244,62.650,MAT_BF,SEL_NN,1709,28.894,1323.871,14.980,29.784
SIFT,FREAK,3,1837,153,2.226,12.916,146.842,64.999,MAT_BF,SEL_NN,1648,28.048,1275.772,14.762,-509.684
SIFT,FREAK,4,1828,144,2.556,18.531,133.014,59.036,MAT_BF,SEL_NN,1668,27.704,1201.404,15.897,-0.643
SIFT,FREAK,5,1877,136,2.722,21.831,126.981,67.657,MAT_BF,SEL_NN,1659,27.682,1229.172,13.489,-106.055
SIFT,FREAK,6,1931,157,2.583,17.612,133.585,62.061,MAT_BF,SEL_NN,1686,27.954,1243.789,14.010,-0.287
SIFT,FREAK,7,1963,184,2.515,16.567,132.982,61.112,MAT_BF,SEL_NN,1723,27.793,1210.376,14.477,-0.261
SIFT,FREAK,8,1954,175,2.330,13.546,135.791,59.077,MAT_BF,SEL_NN,1744,27.889,1241.989,14.298,-1.299
SIFT,FREAK,9,1983,154,2.492,16.843,135.669,60.175,MAT_BF,SEL_NN,1743,28.059,1216.237,15.018,-3.197

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
SIFT,SIFT,0,1891,0,0.000,0.000,145.702,126.471,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
SIFT,SIFT,1,1915,120,2.760,24.734,132.434,119.229,MAT_BF,SEL_NN,1891,90.133,13356.913,30.411,26.924
SIFT,SIFT,2,1825,149,2.582,21.115,131.768,124.056,MAT_BF,SEL_NN,1915,93.274,14226.487,29.546,-0.382
SIFT,SIFT,3,1837,157,2.435,18.193,133.618,123.112,MAT_BF,SEL_NN,1825,91.476,14021.304,30.138,-16.272
SIFT,SIFT,4,1828,153,2.645,22.858,133.055,121.548,MAT_BF,SEL_NN,1837,91.156,13607.141,28.186,-0.576
SIFT,SIFT,5,1877,140,2.780,24.900,131.814,120.579,MAT_BF,SEL_NN,1828,90.497,13743.403,29.376,-0.360
SIFT,SIFT,6,1931,145,2.541,21.264,134.425,121.301,MAT_BF,SEL_NN,1877,91.161,13670.499,30.404,36.637
SIFT,SIFT,7,1963,188,2.613,24.608,134.872,125.748,MAT_BF,SEL_NN,1931,92.126,13890.181,34.959,-0.254
SIFT,SIFT,8,1954,184,2.603,20.871,133.008,121.635,MAT_BF,SEL_NN,1963,91.587,13864.613,33.154,-0.325
SIFT,SIFT,9,1983,177,2.702,26.946,136.611,122.951,MAT_BF,SEL_NN,1954,93.737,14060.134,33.084,-0.715

