Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,BRISK,9,129,14,3.000,9.000,10.499,2.015,MAT_BF,SEL_NN,190,44.679,2922.876,0.165,0.138

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,BRIEF,0,115,0,0.000,0.000,11.599,1.207,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
HARRIS,BRIEF,1,209,9,3.000,9.000,11.126,1.805,MAT_BF,SEL_NN,113,9.128,202.838,0.240,8.813
HARRIS,BRIEF,2,114,13,3.000,9.000,10.791,1.221,MAT_BF,SEL_NN,202,16.547,541.718,0.222,80.753
HARRIS,BRIEF,3,178,13,3.000,9.000,11.398,1.751,MAT_BF,SEL_NN,113,10.142,253.237,0.175,-1.520
HARRIS,BRIEF,4,250,11,3.000,9.000,11.361,2.044,MAT_BF,SEL_NN,172,9.985,232.753,0.284,11.769
HARRIS,BRIEF,5,241,23,3.000,9.000,11.468,1.956,MAT_BF,SEL_NN,239,11.331,283.983,0.398,35.383
HARRIS,BRIEF,6,259,15,3.000,9.000,12.287,2.141,MAT_BF,SEL_NN,226,11.250,294.055,0.420,15.248
HARRIS,BRIEF,7,272,22,3.000,9.000,11.924,2.178,MAT_BF,SEL_NN,242,10.386,241.506,0.418,13.190
HARRIS,BRIEF,8,193,20,3.000,9.000,10.960,1.683,MAT_BF,SEL_NN,259,13.492,376.470,0.374,148.059
HARRIS,BRIEF,9,129,15,3.000,9.000,14.161,1.281,MAT_BF,SEL_NN,186,14.554,487.150,0.224,3.903

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,ORB,0,115,0,0.000,0.000,10.376,1.655,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
HARRIS,ORB,1,209,10,3.000,9.000,13.885,1.942,MAT_BF,SEL_NN,112,10.790,271.130,0.208,10.908
HARRIS,ORB,2,114,13,3.000,9.000,10.456,1.671,MAT_BF,SEL_NN,202,17.953,625.055,0.186,52.795
HARRIS,ORB,3,178,13,3.000,9.000,10.865,1.778,MAT_BF,SEL_NN,111,11.739,309.040,0.208,-80.853
HARRIS,ORB,4,250,11,3.000,9.000,11.356,2.097,MAT_BF,SEL_NN,171,11.810,295.797,0.324,11.769
HARRIS,ORB,5,241,23,3.000,9.000,12.227,1.984,MAT_BF,SEL_NN,238,12.305,335.666,0.387,13.370
HARRIS,ORB,6,259,15,3.000,9.000,11.437,1.987,MAT_BF,SEL_NN,224,12.339,347.438,0.359,13.560
HARRIS,ORB,7,272,22,3.000,9.000,11.945,1.975,MAT_BF,SEL_NN,241,11.788,284.980,0.413,14.658
HARRIS,ORB,8,193,24,3.000,9.000,12.010,1.870,MAT_BF,SEL_NN,257,14.870,461.576,0.342,-42.605
HARRIS,ORB,9,129,13,3.000,9.000,10.670,1.633,MAT_BF,SEL_NN,185,15.951,553.754,0.183,-2.666

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,FREAK,0,115,0,0.000,0.000,10.977,52.351,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
HARRIS,FREAK,1,209,10,3.000,9.000,11.372,57.012,MAT_BF,SEL_NN,113,29.248,1376.408,0.226,10.908
HARRIS,FREAK,2,114,14,3.000,9.000,11.015,55.106,MAT_BF,SEL_NN,203,38.966,2276.314,0.244,-0.494
HARRIS,FREAK,3,178,7,3.000,9.000,11.029,52.861,MAT_BF,SEL_NN,113,31.796,1552.808,0.170,-80.853
HARRIS,FREAK,4,250,16,3.000,9.000,12.132,54.034,MAT_BF,SEL_NN,173,32.936,1647.996,0.319,-0.299
HARRIS,FREAK,5,241,25,3.000,9.000,11.677,52.826,MAT_BF,SEL_NN,241,33.593,1680.860,0.399,-0.804
HARRIS,FREAK,6,259,16,3.000,9.000,11.589,53.021,MAT_BF,SEL_NN,228,33.836,1704.366,0.438,15.816
HARRIS,FREAK,7,272,22,3.000,9.000,11.751,53.055,MAT_BF,SEL_NN,247,32.455,1523.880,0.470,inf
HARRIS,FREAK,8,193,17,3.000,9.000,10.883,52.728,MAT_BF,SEL_NN,262,36.027,1853.824,0.350,13.570
HARRIS,FREAK,9,129,17,3.000,9.000,11.294,52.893,MAT_BF,SEL_NN,187,37.556,2138.824,0.222,-0.150

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
HARRIS,SIFT,0,115,0,0.000,0.000,10.785,12.925,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
HARRIS,SIFT,1,209,9,3.000,9.000,11.067,13.801,MAT_BF,SEL_NN,115,54.793,7039.590,0.341,8.813
HARRIS,SIFT,2,114,16,3.000,9.000,10.605,12.827,MAT_BF,SEL_NN,209,105.980,20867.900,0.296,-0.474
HARRIS,SIFT,3,178,14,3.000,9.000,10.942,14.078,MAT_BF,SEL_NN,114,56.234,6968.138,0.407,-4.425
HARRIS,SIFT,4,250,11,3.000,9.000,16.409,18.657,MAT_BF,SEL_NN,178,61.647,8403.879,0.650,11.769
HARRIS,SIFT,5,241,24,3.000,9.000,12.299,15.521,MAT_BF,SEL_NN,250,69.897,10302.786,0.819,13.643
HARRIS,SIFT,6,259,17,3.000,9.000,11.298,15.257,MAT_BF,SEL_NN,241,70.947,10608.321,0.798,29.195
HARRIS,SIFT,7,272,22,3.000,9.000,11.565,15.548,MAT_BF,SEL_NN,259,70.906,10798.310,0.802,14.274
HARRIS,SIFT,8,193,23,3.000,9.000,11.007,13.979,MAT_BF,SEL_NN,272,89.413,16198.134,0.650,35.151
HARRIS,SIFT,9,129,19,3.000,9.000,10.801,13.286,MAT_BF,SEL_NN,193,94.363,18031.826,0.370,-2.666

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,BRISK,0,5275,0,0.000,0.000,3.483,44.121,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
FAST,BRISK,1,5291,264,3.500,12.250,3.177,42.575,MAT_BF,SEL_NN,4986,38.130,2109.089,106.925,-8.726
FAST,BRISK,2,5202,282,3.500,12.250,3.590,41.459,MAT_BF,SEL_NN,5004,38.555,2152.911,105.896,-69.992
FAST,BRISK,3,5090,312,3.500,12.250,3.508,40.112,MAT_BF,SEL_NN,4914,38.369,2128.102,100.846,-0.664
FAST,BRISK,4,5118,284,3.500,12.250,3.339,41.262,MAT_BF,SEL_NN,4828,38.608,2115.127,103.422,-12.900
FAST,BRISK,5,5180,263,3.500,12.250,3.609,41.456,MAT_BF,SEL_NN,4831,37.372,2070.658,102.563,-28.813
FAST,BRISK,6,5192,285,3.500,12.250,3.653,41.706,MAT_BF,SEL_NN,4853,38.068,2075.811,101.512,-0.504
FAST,BRISK,7,5177,291,3.500,12.250,3.519,41.510,MAT_BF,SEL_NN,4858,38.703,2104.784,100.364,-6.805
FAST,BRISK,8,5176,307,3.500,12.250,3.212,42.602,MAT_BF,SEL_NN,4859,37.589,2050.429,103.288,-0.976
